INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,GEO PRECISION CODE
100 Resilient Cities workshop in Semarang,1/9/15 17:22,"Badan Perencanaan Pembangunan Daerah Bappeda Kota Semarang, Komplek Balaikota","The 100 Resilient Cities workshop in Semarang kicked of the official beginning of strategy development phase and provided RNI with an opportunity to meet with city leaders and better understand how Ushahidi's tools can support their resilience needs. During our time in Semarang, we met with Grobak Hysteria (https://twitter.com/grobakhysteria) a community group that's done brilliant work using art, film, and music to explore urban issues in Semarang (http://www.kotamasadepan.com). RNI is currently defining a community project with Grobak Hysteria to capture resilience challenges and needs in a neighborhood of Semarang. The project will include support from the Humanitarian OpenStreetMap team in Jakarta (http://openstreetmap.id) and are excited to have them as a partner for our work in Semarang!",RNI Activities,-6.982564,110.41343,1
Meeting with the Red Cross,11/27/14 12:20,Cafe Near the Opera,RNI met with the American Red Cross country representative in Vietnam to better understand current and past policies for disaster assessments. Because governmental work in Vietnam is highly centralized it's important to understand trends at the national level to ensure that any pilot that's being introduced will respond to existing needs and specifications.,RNI Activities,21.024032,105.85964,2
100 Resilient Cities workshop in DaNang,11/21/14 12:14,Hotel Novotel Conference Center,"The 100 Resilient Cities workshop in DaNang kicked of the official beginning of strategy development phase and provided RNI with an opportunity to meet with city leaders and better understand how Ushahidi's tools can support their resilience needs. Long-time Rockefeller partners, the Institute for Social and Environmental Transition (http://i-s-e-t.org) provided extremely valuable insight to this process and we look forward to working with them further!",RNI Activities,16.076938,108.222902,1
100 RC Platform Partners Meeting,10/17/14 9:00,"The Nature Conservancy in Arlington, VA",This meeting of the 100 Resilient Cities platform partners was RNI's first opportunity to meet in person and discuss synergy across platforms and coordinate our efforts with the early phases of the program. Find out more about the 100 Resilient Cities Platform of Partners here: http://goo.gl/bv0NV4.,RNI Activities,38.882538,-77.112227,1
CrisisNET working meeting,9/21/14 19:52,South Austin,"RNI met the CrisisNET (crisis.net) team in Austin to discuss how the underlying technology of CrisisNET could be used to create a unique pipeline of civic data for cities. This approach would be best suited for cities that have strong analytic capacity, whether in city government or in the local community. It's important that a pipeline such as this be curated by local stakeholders and continually added to. This is especially important when compiling hyper-local data streams such as prominent Twitter users, etc. Once established, the pipeline could be a valuable resource for local government, community analysts, but also for local journalists and researchers. See CrisisNET's Github account to for technical details and code access: https://github.com/ushahidi/crisisnet.",RNI Activities,30.250215,-97.757661,8
RNI Begins in Boulder!,9/17/14 13:57,"Boulder, Colorado, USA","We've started! RNI met with Boulder CRO, Greg Guibert, and several community-based organizations to provide technical advice on citizen engagement; assess existing resilience capacity and challenges; and generally get the lay of the land! Boulder is host to a very robust volunteer community. Would you like to know more about who's doing what in Boulder? You can follow groups we met with and those sharing important information by using this Twitter list: https://twitter.com/Shadrocker/lists/rni-boulder.",RNI Activities,40.016037,-105.270003,3
Meeting with Rockefeller Foundation,7/29/14 14:40,Rockefeller Foundation,We met with briefly with the Rockefeller Foundation to deliver our findings based on 6 months of research and stakeholder discussions. We are proposing to create an original pipeline of local resilience data in each city by using the technology behind CrisisNET (http://crisis.net). This pipeline will combine data from a wide range of sources and be publicly available. RNI will work directly with communities and CROs to build upon this pipeline for their own needs; produce analysis as a convening point for better decision-making; and turn this knowledge into action. The pipeline will also be available to all Rockefeller Grantees and partners to inform their program planning and or as an input to their analytical work or tools.,RNI Activities,40.750604,-73.98329,1
Boulder Consultation,7/1/14 21:11,Boulder City Government,"In Boulder, Colorado, RNI had it's first opportunity to begin meeting with city officials. Boulder has always been a progressive city with regards to sustainability and environmental stewardship. Now, as they recover from historic flooding in 2013 _ just three years after experiencing the state's most financially destructive wildfire in history _ Boulder is once again leaning forward to develop communications tools that will better connect the city to the needs of the citizens. This introductory meeting allowed us to learn more about Boulder's needs and begin brainstorming for the future. The City has already made some attempts at citizen engagement through technology but are looking for ways to increase participation. In my time in the area I've found a wide variety of existing, community-based, organizations that focus on nature and environmental causes. I believe that tapping into these existing groups will provide this increase.",RNI Activities,40.014451,-105.279187,1
RNI Team Meeting,6/10/14 21:10,OpenGovHub,"One of the challenges of being part of a globally distributed company is that, occasionally, you just need to get everyone in a room face to face! RNI spent 3 days in Washington D.C. to create our initial website and collate documentation about the initiative into one, central, place. One immediate discovery is that, when starting initiatives like this, you must clearly and succinctly communicate who you are, what you do, and how others can engage with you. It's a simple, oft forgotten, truth!",RNI Activities,38.904262,-77.033214,1
KNOW4DRR workshop,5/27/14 21:07,University of Salzburg,"RNI was invited to attend a workshop hosted by ""KNOW4DRR"" to explore how knowledge on mitigation and adaptation is produced, shared, maintained, and used (or not) by a variety of stakeholders. We spent 3 days talking to a broad range of resilience networks and connected with the Asian disaster Reduction and Response Network (adrrn.net) whose work in India, Viet Nam, and Myanmar (Burma) could be a starting point for RNI. The primary concern around building networks discussed at the workshop was ensuring sustainability of the networks themselves and how they communicate their findings, challenges, and solutions more broadly.",RNI Activities,47.798914,13.041646,1
World Economic Forum Meeting,5/20/14 21:04,George Washington University Campus,A meeting at the World Economic Forum gave RNI the opportunity to meet with organizations who are finding new ways to leverage the role of big data for improving security and resilience to catastrophic events. This meeting gave us the opportunity to meet counterparts from the U.N. Office for the Coordination of Humanitarian Affairs who graciously connected us with valuable datasets they currently maintain for Colombia. We also met with our Rockefeller counterparts and the U.S. Department of Health and Human Services to brainstorm about how they could partner with RNI in the U.S.,RNI Activities,38.896225,-77.043992,1
State of the Map Conference,4/12/14 21:01,Washington Convention Center,"Managing urban growth and building resilient and sustainable societies requires robust and accurate data to inform decision-making. Because the creation of timely, accessible, geographic data is a critical need we met city officials and community based organizations who all use OpenStreetMap (OSM) at the annual ‰ÛÏState of the Map U.S.‰Ûù conference to see how community mapping might play a role in RNI. This shift in using on open, &quot;community-based&quot; platform for map data is still quite new and offers exciting new possibilities for transparency in government and greater citizen engagement. These valuable conversations lead to connections with OSM users in the cities we hope to support and connected us with a diverse range of groups interested in collaborating with our initiative. More at http://stateofthemap.us.",RNI Activities,38.904767,-77.022812,1
1st Strategy Meeting with the Rockefeller Foundation,4/11/14 20:58,Rockefeller Foundation,"Ushahidi and the RNI Director met our counterparts at the Rockefeller Foundation and the 100 Resilient Cities challenge to discuss which cities we should focus on. Our goal is to create a broad suite of tools and methodologies to eventually serve a wide variety of cities. However, to begin with, we choose a sub-set of 'candidate cities' from the current short-list of 32. You can see our selection criteria and analysis on Github: github.com/Shadrock/RNI_select",RNI Activities,40.750783,-73.983258,1
Ushahidi hires RNI director!,2/3/14 20:55,The Bellagio Center,The Resilience Network Initiative takes its first steps at the annual Ushahidi team meeting were we began a comprehensive survey of the tools and capacity at our disposal and began developing a work plan.,RNI Activities,45.984221,9.266105,1
